advmean,advstd,ev,n_updates,opt_approxkl,opt_aux,opt_clipfrac,opt_dyn_loss,opt_ent,opt_feat_var,opt_pg,opt_tot,opt_vf,rank,recent_best_ext_ret,retmean,retstd,rew_mean,total_secs,tps,ups,vpredmean,vpredstd,tcount,best_ext_ret,epcount,eplen,eprew,eprew_recent
1.1670505,0.5241596,0.007853984832763672,1,4.440892e-16,1.4629915,0.0,0.3138407,1.3772969,0.03772878,-0.5048802,0.66811043,1.1743679,0,,1.2947743,0.5262302,0.2546641,8.232097387313843,31.09778564992579,0.12147572519502262,0.1277239,0.05582158,,,,,,
0.31790674,0.31948265,-0.2031233310699463,2,2.220446e-16,1.3102486,0.0,0.18622805,1.3734584,0.04071807,-0.74099267,-0.5240828,0.21828337,0,,1.4200723,0.29126763,0.10549127,10.296641111373901,123.99834259579616,0.48436852576482875,1.1021656,0.32643455,0.0,,,,,
0.21329616,0.34603596,0.14949268102645874,3,8.881784e-16,1.4145651,0.0,0.049260832,1.3750274,0.01964134,0.7351909,0.7386745,0.004858618,0,,1.5578892,0.37521675,0.102150366,12.35010576248169,124.66735176663255,0.4869818428384084,1.3445932,0.28030798,0.0,,,,,
0.25263274,0.1949906,0.7694586664438248,4,2.220446e-16,1.4016299,0.0,0.12085644,1.364739,0.0422587,0.96986234,0.9802988,0.011801223,0,0.0,1.4908097,0.40610588,0.09620045,14.575021743774414,115.06052460069006,0.44945517422144554,1.238177,0.3248906,125.0,0.0,1.0,125.0,0.0,0.0
0.13582039,0.20307696,0.7732822895050049,5,0.0,1.4309347,0.0,0.083408564,1.3485805,0.039162595,0.7522937,0.76392037,0.012975196,0,0.0,1.7874424,0.4264989,0.0957012,16.7271089553833,118.95428708421906,0.4646651839227307,1.6516222,0.46018636,253.0,0.0,2.0,126.5,0.0,0.0
0.07744501,0.18701017,0.6896276772022247,6,2.8865799e-15,1.5385623,0.0,0.066814676,1.3460202,0.019449014,0.20316413,0.21006544,0.008247327,0,1.0,1.9129696,0.33567864,0.079565585,18.988251209259033,113.2171138552653,0.44225435099713006,1.8355246,0.37887168,417.0,1.0,3.0,139.0,0.3333333333333333,1.0
0.121351555,0.19813427,0.4932265877723694,7,0.0,1.2171695,0.0,0.10373397,1.3336028,0.039550245,0.03275607,0.050448548,0.019026078,0,2.0,2.1667936,0.27832532,0.07529277,21.23284411430359,114.0518618875873,0.44551508549838786,2.045442,0.32082367,822.0,2.0,5.0,164.4,1.0,2.0
0.14913008,0.319968,0.38309627771377563,8,5.3290705e-15,1.327108,0.0,0.16264498,1.34098,0.0840047,-0.933226,-0.7843508,0.15021618,0,3.0,2.5441866,0.40737826,0.09835124,23.505324125289917,112.65225602089583,0.44004787508162435,2.3950567,0.34353513,1057.0,3.0,6.0,176.16666666666666,1.3333333333333333,3.0
0.17099836,0.18300009,0.837472453713417,9,8.881784e-16,1.3542826,0.0,0.1281785,1.3481035,0.06852023,-0.08530374,-0.050772205,0.035879634,0,,2.8643975,0.4539289,0.1120968,25.896474361419678,107.06144521239008,0.41820877036089876,2.6933992,0.41222408,1057.0,3.0,6.0,176.16666666666666,1.3333333333333333,3.0
0.10366097,0.15292151,0.8927785083651543,10,4.440892e-16,0.5234843,0.0,0.109717876,1.3159409,0.087999806,0.0036490075,0.012965904,0.010632837,0,0.0,2.6860964,0.4670116,0.10701606,28.158180236816406,113.18889992939278,0.44214414034919053,2.5824356,0.4721282,1184.0,3.0,7.0,169.14285714285714,1.1428571428571428,0.0
0.16582775,0.26968554,0.20304083824157715,11,2.220446e-16,1.0319338,0.0,0.12587799,1.3729184,0.10713899,-0.098433435,-0.07468279,0.02512357,0,5.0,2.734247,0.3020923,0.12146765,30.440751314163208,112.15422929899182,0.4381024581991868,2.568419,0.39411387,1854.0,5.0,10.0,185.4,1.5,2.3333333333333335
0.15927011,0.25261363,-0.11779797077178955,12,5.551115e-15,0.77771026,0.0,0.12257481,1.2254112,0.14477964,1.1164664,1.1618533,0.046612218,0,5.0,2.8059328,0.23893245,0.12874629,32.67261838912964,114.70217150089482,0.4480553574253704,2.6466627,0.2827286,2472.0,5.0,12.0,206.0,1.9166666666666667,4.0
0.26585436,0.17578234,0.7083115577697754,13,4.2188475e-15,0.82361877,0.0,0.10648194,1.3021333,0.11206603,0.6572862,0.67109776,0.015113677,0,,2.9777503,0.32547352,0.14388537,34.81145644187927,119.69115645333369,0.4675435798958347,2.711896,0.29185212,2472.0,5.0,12.0,206.0,1.9166666666666667,4.0
0.17289427,0.23017913,0.46976321935653687,14,5.884182e-15,0.40415823,0.0,0.13204238,1.2820262,0.143756,0.26244566,0.27908626,0.01792265,0,,3.4567819,0.31610474,0.15363628,37.28361463546753,103.55324374627676,0.4045048583838936,3.2838879,0.24740969,2472.0,5.0,12.0,206.0,1.9166666666666667,4.0
0.020315826,0.25242513,0.4135594367980957,15,0.0,0.52519923,0.0,0.14100984,1.205622,0.1904817,-0.28328356,-0.26956588,0.014923297,0,3.0,3.3746712,0.32962537,0.13737622,39.5891227722168,111.03842832710893,0.43374386065276926,3.3543553,0.27170777,3072.0,5.0,15.0,204.8,1.8666666666666667,1.6666666666666667
0.10243968,0.3143908,-0.13882076740264893,16,3.1641356e-15,0.5470732,0.0,0.11772246,1.2417535,0.16928479,0.20035484,0.21282795,0.013714865,0,2.0,3.3568482,0.2946064,0.11545025,41.81572103500366,114.97359190408426,0.44911559337532914,3.2544088,0.4055545,3415.0,5.0,17.0,200.88235294117646,1.7647058823529411,1.0
0.11534438,0.18524505,0.3541525602340698,17,5.3290705e-15,0.5213712,0.0,0.14110142,1.2700832,0.18302354,0.6335168,0.67076254,0.038515836,0,2.0,3.5798478,0.23050568,0.14651468,44.09115719795227,112.50590289831034,0.43947618319652476,3.4645033,0.22798109,3782.0,5.0,19.0,199.05263157894737,1.736842105263158,1.5
0.084619924,0.13511075,0.8506472855806351,18,2.220446e-16,0.44616866,0.0,0.14708665,1.2994355,0.23558863,-0.49940765,-0.4834705,0.01723659,0,,3.7862291,0.34960955,0.13880914,46.490034341812134,106.71659474319245,0.4168616982155955,3.701609,0.3364588,3782.0,5.0,19.0,199.05263157894737,1.736842105263158,1.5
0.05716072,0.25301874,0.15951007604599,19,5.551115e-17,0.4065624,0.0,0.13465776,1.2855159,0.25157356,0.87264323,0.89018613,0.01882841,0,4.0,3.7103553,0.27598563,0.16029705,48.666727781295776,117.60957944575263,0.4594124197099712,3.6531944,0.3827111,4038.0,5.0,20.0,201.9,1.85,4.0
0.16348727,0.18473874,0.5239928662776947,20,0.0,1.3439895,0.0,0.16373144,1.2975602,0.14009492,-0.08267652,-0.053271424,0.030702662,0,1.0,3.7108605,0.26776344,0.15922616,50.81712222099304,119.0479268705884,0.46503096433823593,3.5473733,0.27125692,4198.0,5.0,21.0,199.9047619047619,1.8095238095238095,1.0
0.07900153,0.1981962,0.1791399121284485,21,8.881784e-16,0.32599658,0.0,0.16803578,1.281928,0.2594506,-0.6593354,-0.6223435,0.038273796,0,1.0,3.8689594,0.21875641,0.15653291,52.98972177505493,117.8311942121974,0.4602781023913961,3.7899575,0.2555404,4391.0,5.0,22.0,199.5909090909091,1.7727272727272727,1.0
0.057401866,0.18033798,0.6102534830570221,22,0.0,1.2332284,0.0,0.27100518,1.3056607,0.28940326,-1.323555,-1.2601777,0.06468292,0,3.0,3.9178143,0.28886577,0.16215765,55.21678805351257,114.94943032287895,0.4490212121987459,3.8604121,0.1967893,4781.0,5.0,24.0,199.20833333333334,1.7916666666666667,2.0
0.15297234,0.22882393,0.4676209092140198,23,2.220446e-16,0.17172202,0.0,0.15104312,1.1583129,0.3514675,0.37793344,0.38314894,0.0063738087,0,2.0,3.845964,0.31361076,0.14740808,57.38331317901611,118.16156525786928,0.4615686142885519,3.6929917,0.29041502,5005.0,5.0,25.0,200.2,1.8,2.0
0.11053609,0.23295827,-0.7017275094985962,24,7.5495166e-15,0.45050755,0.0,0.16548063,1.0129724,0.3261116,0.46262658,0.469193,0.0075794086,0,0.0,4.2686577,0.17858014,0.17204195,59.55968260765076,117.6270887799609,0.45948081554672227,4.1581216,0.25387087,5137.0,5.0,26.0,197.57692307692307,1.7307692307692308,0.0
-0.046423547,0.16171394,0.3749123811721802,25,0.0,0.10014941,0.0,0.12325574,1.0764735,0.33885592,0.329486,0.34282038,0.014410824,0,0.0,4.5244465,0.20453942,0.15519229,61.73958706855774,117.43633934006782,0.4587357005471399,4.5708694,0.22176701,5266.0,5.0,27.0,195.03703703703704,1.6666666666666667,0.0
-0.16196732,0.32896438,0.4978899359703064,26,4.440892e-16,0.6321855,0.0,0.11534516,1.1635946,0.26673073,-0.0060355924,0.02105352,0.028252706,0,4.0,4.4531646,0.46424732,0.12282045,63.907347440719604,118.09423370199178,0.4613056003984054,4.6151323,0.49154976,5562.0,5.0,28.0,198.64285714285714,1.75,4.0
-0.019749165,0.43596074,0.21531832218170166,27,2.220446e-16,0.1807163,0.0,0.10641418,1.0969956,0.32571137,0.44596705,0.48069385,0.035823803,0,4.0,3.6044633,0.49215356,0.14533241,66.18503022193909,112.39493142365346,0.43904270087364633,3.6242125,0.48724756,6277.0,5.0,31.0,202.48387096774192,1.7741935483870968,2.0
0.030933067,0.13730149,0.9296584278345108,28,0.0,0.87582695,0.0,0.07806224,1.2738956,0.18005824,-0.009408623,-0.0069059012,0.0037766173,0,,3.4375696,0.5176893,0.12240984,68.33759260177612,118.92802847338666,0.46456261122416664,3.4066365,0.53836185,6277.0,5.0,31.0,202.48387096774192,1.7741935483870968,2.0
0.0054190876,0.16421743,0.8347714245319366,29,2.7755576e-16,0.2531659,0.0,0.1588834,1.2603772,0.32381213,-0.03696783,-0.031345155,0.0068830512,0,0.0,3.5540776,0.40399563,0.12206441,70.810373544693,103.52716472249446,0.404402987197244,3.5486588,0.44118708,6435.0,5.0,32.0,201.09375,1.71875,0.0
-0.015834164,0.11175578,0.9148950278759003,30,0.0,0.29815966,0.0,0.11038908,1.1710865,0.38288593,0.018207908,0.021225806,0.0041889837,0,,3.6754663,0.38308266,0.12643321,72.9690625667572,118.5904951493219,0.46324412167703866,3.6913004,0.39781365,6435.0,5.0,32.0,201.09375,1.71875,0.0
-0.01306409,0.20900086,0.46239060163497925,31,5.620504e-15,0.7381228,0.0,0.104655236,1.1763772,0.24135782,0.84290695,0.8691067,0.02737613,0,3.0,3.5506275,0.2850458,0.1295702,75.13190937042236,118.36252089892926,0.46235359726144243,3.5636916,0.34980714,6728.0,5.0,33.0,203.87878787878788,1.7575757575757576,3.0
0.047230598,0.20601864,0.4958878755569458,32,4.440892e-16,0.49508125,0.0,0.24473584,1.1908034,0.33269483,-1.5438979,-1.4636548,0.08143388,0,2.0,3.5366807,0.29016364,0.13800392,77.4298586845398,111.40367562820738,0.4351706079226851,3.4894505,0.1937583,7134.0,5.0,35.0,203.82857142857142,1.7428571428571429,1.5
-0.0037372895,0.17014752,-0.153251051902771,33,0.0,0.5371984,0.0,0.13812678,1.2150513,0.3331071,-1.4608071,-1.4251752,0.03684698,0,4.0,3.4557822,0.15843959,0.11534747,79.66238570213318,114.66826514644491,0.4479229107283004,3.4595194,0.21686168,7653.0,5.0,37.0,206.83783783783784,1.7837837837837838,2.5
0.011325065,0.17944968,0.22984451055526733,34,4.32987e-15,0.30029577,0.0,0.11715697,1.1953896,0.29741278,-0.6288477,-0.6108397,0.01920339,0,2.0,3.3455362,0.20448124,0.10268299,81.91214323043823,113.79004038398219,0.4444923452499304,3.3342113,0.13696614,8027.0,5.0,39.0,205.82051282051282,1.7692307692307692,1.5
0.0061687976,0.19008312,0.5038257837295532,35,5.939693e-15,0.5240639,0.0,0.17654917,1.2196268,0.26517093,-1.7740352,-1.7115456,0.06370925,0,5.0,3.4389615,0.2698525,0.11146192,84.22585439682007,110.64475277626414,0.4322060655322818,3.4327927,0.2303334,8438.0,5.0,41.0,205.8048780487805,1.8048780487804879,2.5
-0.06987295,0.16706644,0.7182956635951996,36,1.110223e-16,0.15604503,0.0,0.06907911,1.2051196,0.38364848,0.55384874,0.5728181,0.020174481,0,,3.3428004,0.31476936,0.09384078,86.42977571487427,116.15659683623261,0.45373670639153363,3.4126732,0.29596996,8438.0,5.0,41.0,205.8048780487805,1.8048780487804879,2.5
-0.03977757,0.15912367,0.6312396824359894,37,0.0,0.22780496,0.0,0.080904186,1.2042606,0.3262979,0.35367444,0.3617689,0.009298708,0,1.0,3.3167007,0.26203707,0.092859946,88.64022636413574,115.81348811634008,0.45239643795445345,3.3564785,0.2767205,8601.0,5.0,42.0,204.78571428571428,1.7857142857142858,1.0
-0.06860879,0.13455255,0.3801923990249634,38,0.0,0.11350745,0.0,0.11645234,1.2238665,0.34308052,-0.53142196,-0.5226049,0.010040946,0,1.0,3.2307491,0.17090845,0.0918788,90.92012596130371,112.28564640214704,0.43861580625838686,3.299358,0.2002103,9095.0,5.0,45.0,202.11111111111111,1.711111111111111,0.6666666666666666
-0.04117866,0.1235913,0.5588550865650177,39,2.220446e-16,0.5001042,0.0,0.06357392,1.2333399,0.18335319,1.0039217,1.0227218,0.020033365,0,,3.1260242,0.18607895,0.078204446,93.15997219085693,114.29356025527868,0.44645921974718233,3.1672032,0.17054987,9095.0,5.0,45.0,202.11111111111111,1.711111111111111,0.6666666666666666
-0.013619093,0.1209648,0.12593579292297363,40,4.9960036e-16,0.16190562,0.0,0.08289987,1.1855228,0.2640692,0.85124743,0.8640656,0.014003683,0,1.0,3.0634916,0.12938602,0.08801314,95.48275089263916,110.21282389216664,0.43051884332877594,3.0771108,0.18223551,9581.0,5.0,48.0,199.60416666666666,1.6458333333333333,0.6666666666666666
-0.047241412,0.15633343,0.55523282289505,41,1.3877788e-15,0.2599043,0.0,0.08261682,1.2102771,0.29168487,-0.4335513,-0.4293062,0.0054553626,0,,3.1218567,0.23441505,0.08011295,97.64427638053894,118.43487455183296,0.4626362287180975,3.1690981,0.1952461,9581.0,5.0,48.0,199.60416666666666,1.6458333333333333,0.6666666666666666
-0.007696273,0.12115146,0.8472828716039658,42,1.110223e-15,0.21700568,0.0,0.084075585,1.2771455,0.3085934,-0.14560269,-0.14504786,0.0018319822,0,0.0,3.0456214,0.31001648,0.08815778,99.87400817871094,114.81201470503166,0.4484844324415299,3.053318,0.29380003,9706.0,5.0,49.0,198.08163265306123,1.6122448979591837,0.0
-0.034521352,0.1281072,0.8425451964139938,43,5.551115e-16,0.5666652,0.0,0.063565075,1.1619712,0.29605445,0.5751482,0.5818019,0.007815685,0,8.0,2.9771318,0.32284614,0.08149369,102.14983892440796,112.48639666373545,0.4393999869677166,3.0116532,0.3595746,10342.0,8.0,52.0,198.8846153846154,1.7115384615384615,3.3333333333333335
-0.026241394,0.09709864,0.8837942257523537,44,4.718448e-15,0.23552597,0.0,0.087261364,1.2114153,0.2425845,-0.12721309,-0.12593544,0.0024890685,0,,2.9403071,0.2848389,0.07442272,104.30457925796509,118.80781921290037,0.46409304380039207,2.9665484,0.292086,10342.0,8.0,52.0,198.8846153846154,1.7115384615384615,3.3333333333333335
-0.073897585,0.090952896,0.9332336783409119,45,0.0,0.33370227,0.0,0.08853227,1.2418048,0.2509311,-0.7542672,-0.74833506,0.0071739405,0,3.0,2.8976736,0.35199603,0.06912999,106.485595703125,117.37646479837986,0.4585018156186713,2.9715712,0.33180806,10762.0,8.0,54.0,199.2962962962963,1.7222222222222223,2.0
-0.12207095,0.18889742,-0.8599209785461426,46,3.7747583e-15,0.435192,0.0,0.06493411,1.2736064,0.18689103,-0.18459982,-0.17815083,0.007722593,0,2.0,2.6963162,0.13850926,0.0676293,108.67959952354431,116.68165643899108,0.4557877204648089,2.8183875,0.2950685,11095.0,8.0,56.0,198.125,1.6964285714285714,1.0
-0.05248187,0.1053141,0.3954818844795227,47,2.7755576e-16,0.5909493,0.0,0.046603993,1.2318422,0.19607008,0.77171385,0.78175044,0.0112684285,0,1.0,2.5670633,0.1354509,0.06310259,110.90584588050842,114.99176593784625,0.4491865856947119,2.6195452,0.13635778,11374.0,8.0,58.0,196.10344827586206,1.6551724137931034,0.5
-0.059049148,0.081425585,-0.13343322277069092,48,8.881784e-16,0.2355322,0.0,0.057148337,1.1897049,0.24411622,0.19303101,0.19626415,0.004422837,0,,2.5168843,0.076482646,0.06046975,113.09724402427673,116.82039647974898,0.45632967374901945,2.5759335,0.092742115,11374.0,8.0,58.0,196.10344827586206,1.6551724137931034,0.5
-0.03746795,0.10509046,0.13140517473220825,49,0.0,0.33765006,0.0,0.07791664,1.2458823,0.24031441,-0.23756374,-0.23497756,0.0038320692,0,1.0,2.4232707,0.11275991,0.06652477,115.67662453651428,99.24863694419646,0.38768998806326743,2.4607387,0.100713484,11838.0,8.0,61.0,194.0655737704918,1.6065573770491803,0.6666666666666666
-0.058627073,0.10208403,0.1675758957862854,50,1.110223e-15,0.261477,0.0,0.05295331,1.177058,0.22235669,0.14496213,0.14952427,0.0057391906,0,,2.3502183,0.11188853,0.058618404,117.99487400054932,110.42815019330087,0.4313599616925815,2.4088454,0.12703787,11838.0,8.0,61.0,194.0655737704918,1.6065573770491803,0.6666666666666666
-0.06029243,0.08445909,0.6910607218742371,51,0.0,0.6853974,0.0,0.062268093,1.2106042,0.24966036,-0.24078819,-0.2397883,0.0022104986,0,4.0,2.295337,0.15195319,0.059610613,120.26576781272888,112.73094260373871,0.44035524454585434,2.3556294,0.13703659,12321.0,8.0,63.0,195.57142857142858,1.6349206349206349,2.5
-0.018582702,0.117718145,0.8164322525262833,52,2.220446e-16,0.44980907,0.0,0.0420086,1.2338817,0.13812286,0.6383014,0.6427804,0.005712947,0,,2.247282,0.27475476,0.06561099,122.45530295372009,116.91979507764731,0.4567179495220598,2.2658648,0.2169424,12321.0,8.0,63.0,195.57142857142858,1.6349206349206349,2.5
0.004216777,0.08597575,0.8859020546078682,53,2.8865799e-15,0.33666968,0.0,0.07082889,1.2721794,0.25424027,-0.2628925,-0.25414604,0.010018634,0,2.0,2.1348267,0.2545289,0.06742113,124.70069289207458,114.01137754612306,0.4453569435395432,2.1306098,0.24919489,12654.0,8.0,65.0,194.6769230769231,1.6153846153846154,1.0
0.008021454,0.086913146,0.8869873434305191,54,3.8302694e-15,0.2864319,0.0,0.067606494,1.2939047,0.21104616,0.14603129,0.14876097,0.0040235827,0,,2.1713896,0.25853652,0.070526704,126.84038639068604,119.64330413030216,0.4673566567589928,2.1633682,0.25760496,12654.0,8.0,65.0,194.6769230769231,1.6153846153846154,1.0
0.05079334,0.14886555,0.8535444885492325,55,3.2196468e-15,0.5452492,0.0,0.06523093,1.2554379,0.19786541,0.34670073,0.34662578,0.001180505,0,3.0,2.2688198,0.3889926,0.09161485,129.15475583076477,110.61328220411121,0.43208313360980943,2.2180264,0.33283818,13278.0,8.0,68.0,195.26470588235293,1.6323529411764706,2.0
0.09274816,0.1843596,-1.5971159934997559,56,0.0,0.33288008,0.0,0.120943606,1.2987037,0.22539185,-2.1334012,-1.9977463,0.13695346,0,4.0,1.9758687,0.114398435,0.07591608,131.34894180297852,116.67197003438956,0.4557498829468342,1.8831205,0.2040906,13601.0,8.0,69.0,197.1159420289855,1.6666666666666667,4.0
-0.003637636,0.13850424,0.23268449306488037,57,0.0,0.48734286,0.0,0.046307698,1.2694571,0.20902908,0.7297753,0.73589164,0.0073858052,0,0.0,2.0597339,0.15811609,0.074925594,133.8549463748932,102.15464204217604,0.39904157047725014,2.0633714,0.12149843,13730.0,8.0,70.0,196.14285714285714,1.6428571428571428,0.0
0.052226037,0.1660766,0.3222188353538513,58,5.0515148e-15,0.6584562,0.0,0.073073916,1.2845932,0.140441,-0.2646703,-0.25842604,0.0075288685,0,2.0,2.1243918,0.20172684,0.079751395,136.06584286689758,115.79013351634156,0.4523052090482092,2.072166,0.21203317,13938.0,8.0,71.0,196.30985915492957,1.647887323943662,2.0
0.05192234,0.18094946,0.35054081678390503,59,2.220446e-16,0.850325,0.0,0.08786045,1.2328937,0.19261344,0.36554995,0.36829534,0.003978284,0,3.0,2.1794841,0.22453362,0.088752195,138.27293920516968,115.98949967014981,0.4530839830865227,2.1275616,0.18866578,14186.0,8.0,72.0,197.02777777777777,1.6666666666666667,3.0
0.026278244,0.12587003,0.6571540832519531,60,3.1086245e-15,0.9125972,0.0,0.106657624,1.2029105,0.1939016,1.1400281,1.160848,0.022022806,0,2.0,2.22781,0.21496752,0.089320734,140.51208543777466,114.32929045557441,0.44659879084208753,2.201532,0.22688095,14569.0,8.0,74.0,196.8783783783784,1.662162162162162,1.5
0.08378666,0.12981293,0.7654135376214981,61,0.0,0.13200781,0.0,0.05718286,1.2268999,0.25337413,1.3406221,1.3451614,0.005766265,0,,2.29357,0.26801956,0.09717934,142.7043914794922,116.77201774230419,0.4561406943058757,2.209783,0.234706,14569.0,8.0,74.0,196.8783783783784,1.662162162162162,1.5
0.066933684,0.15333599,0.7657430768013,62,2.220446e-16,0.18655545,0.0,0.14919513,1.1645684,0.29289064,-1.1313837,-1.0951601,0.03738814,0,1.0,2.4915147,0.31680927,0.098611146,144.87978720664978,117.6797383593714,0.4596864779662945,2.424581,0.28317836,14744.0,8.0,75.0,196.58666666666667,1.6533333333333333,1.0
0.0012430139,0.16373165,0.2585234045982361,63,3.3861802e-15,0.38825333,0.0,0.08874531,1.2148604,0.3035884,0.99543065,1.0289142,0.03469844,0,3.0,2.7305155,0.19014457,0.09834135,147.1198127269745,114.28441224316545,0.44642348532486503,2.7292724,0.21426892,14997.0,8.0,76.0,197.32894736842104,1.6710526315789473,3.0
0.012705077,0.13118427,0.4620218276977539,64,2.220446e-16,0.2640138,0.0,0.12676522,1.2038122,0.24054721,-1.6933606,-1.655736,0.038828343,0,3.0,2.5593753,0.1788543,0.09331679,149.37269592285156,113.63216720178697,0.44387565313198035,2.5466702,0.1579964,15377.0,8.0,78.0,197.14102564102564,1.6666666666666667,1.5
0.023565913,0.12656517,0.8299121558666229,65,3.3861802e-15,0.5182811,0.0,0.08194162,1.2372535,0.29167065,-0.58544624,-0.5778128,0.008870693,0,,2.5550113,0.3068863,0.093368836,151.5748016834259,116.25236379801828,0.4541107960860089,2.5314453,0.25056353,15377.0,8.0,78.0,197.14102564102564,1.6666666666666667,1.5
-0.014755565,0.10586513,0.8647648245096207,66,4.82947e-15,0.23857981,0.0,0.06416066,1.186841,0.2941203,0.5885986,0.5918237,0.0044119162,0,4.0,2.5319285,0.28787777,0.08349918,154.30452227592468,93.78249213618535,0.36633785990697404,2.5466843,0.28836876,16060.0,8.0,81.0,198.2716049382716,1.7037037037037037,2.6666666666666665
0.0051900446,0.18822059,0.18948733806610107,67,0.0,0.9746649,0.0,0.048587084,1.2451357,0.13192755,0.5464422,0.55190253,0.006705491,0,6.0,2.3645716,0.20906784,0.079806864,156.50037670135498,116.58332038556448,0.45540359525611124,2.3593814,0.26255825,16434.0,8.0,82.0,200.41463414634146,1.7560975609756098,6.0
0.031231016,0.11224426,0.6249614357948303,68,8.881784e-16,0.25419778,0.0,0.06790149,1.2090564,0.28773832,0.7771952,0.7801965,0.004210361,0,1.0,2.3092175,0.18328469,0.075583786,158.74393558502197,114.1044266159754,0.4457204164686539,2.2779865,0.17023197,16613.0,8.0,83.0,200.15662650602408,1.7469879518072289,1.0
-0.0008410923,0.14064041,0.6689147651195526,69,2.220446e-16,0.6981292,0.0,0.08559003,1.276468,0.1867972,0.6642806,0.6717592,0.008755117,0,,2.4757118,0.24442196,0.080339916,160.88971185684204,119.30414338250571,0.46603181008791295,2.4765532,0.23003589,16613.0,8.0,83.0,200.15662650602408,1.7469879518072289,1.0
-0.018031308,0.17563435,0.19015496969223022,70,2.220446e-16,0.48786518,0.0,0.07273073,1.2283726,0.34456518,-0.022439148,-0.021589907,0.002077615,0,2.0,2.3679242,0.19516794,0.085444815,163.2533073425293,108.30956546930602,0.42308424011447665,2.3859556,0.2401368,17281.0,8.0,87.0,198.632183908046,1.7126436781609196,1.0
